# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	19131	20015	+	WP_009360710.1	WP_009360710.1		pyridoxal 5'-phosphate synthase lyase subunit PdxS	pdxS		AFK25_RS00080	885	294	
gene	protein_coding	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	20034	20612	+					pdxT		AFK25_RS00085	579		old_locus_tag=AFK25_00085
CDS	with_protein	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	20034	20612	+	WP_019417546.1	WP_019417546.1		pyridoxal 5'-phosphate synthase glutaminase subunit PdxT	pdxT		AFK25_RS00085	579	192	
gene	protein_coding	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	20934	22208	+					serS		AFK25_RS00095	1275		old_locus_tag=AFK25_00095
CDS	with_protein	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	20934	22208	+	WP_026011640.1	WP_026011640.1		serine--tRNA ligase	serS		AFK25_RS00095	1275	424	
gene	tRNA	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	22288	22380	+							AFK25_RS00100	93		old_locus_tag=AFK25_00100
tRNA		GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	22288	22380	+				tRNA-Ser			AFK25_RS00100	93		anticodon=TGA
gene	protein_coding	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	22513	23181	-							AFK25_RS00105	669		old_locus_tag=AFK25_00105
CDS	with_protein	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	22513	23181	-	WP_009360707.1	WP_009360707.1		deoxynucleoside kinase			AFK25_RS00105	669	222	
gene	protein_coding	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	23178	23816	-							AFK25_RS00110	639		old_locus_tag=AFK25_00110
CDS	with_protein	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	23178	23816	-	WP_009360706.1	WP_009360706.1		deoxynucleoside kinase			AFK25_RS00110	639	212	
gene	protein_coding	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	23949	24437	+					tadA		AFK25_RS00115	489		old_locus_tag=AFK25_00115
CDS	with_protein	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	23949	24437	+	WP_009360705.1	WP_009360705.1		tRNA adenosine(34) deaminase TadA	tadA		AFK25_RS00115	489	162	
gene	SRP_RNA	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	24511	24775	+					ffs		AFK25_RS14645	265		
ncRNA	SRP_RNA	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	24511	24775	+				signal recognition particle sRNA large type	ffs		AFK25_RS14645	265		
gene	protein_coding	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	24885	26564	+					dnaX		AFK25_RS00120	1680		old_locus_tag=AFK25_00120
CDS	with_protein	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	24885	26564	+	WP_035064536.1	WP_035064536.1		DNA polymerase III subunit gamma/tau	dnaX		AFK25_RS00120	1680	559	
gene	protein_coding	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	26581	26904	+							AFK25_RS00125	324		old_locus_tag=AFK25_00125
CDS	with_protein	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	26581	26904	+	WP_009360703.1	WP_009360703.1		YbaB/EbfC family nucleoid-associated protein			AFK25_RS00125	324	107	
gene	protein_coding	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	26914	27510	+					recR		AFK25_RS00130	597		old_locus_tag=AFK25_00130
CDS	with_protein	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	26914	27510	+	WP_004888493.1	WP_004888493.1		recombination mediator RecR	recR		AFK25_RS00130	597	198	
gene	protein_coding	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	27510	27731	+							AFK25_RS00135	222		old_locus_tag=AFK25_00135
CDS	with_protein	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	27510	27731	+	WP_009360702.1	WP_009360702.1		YaaL family protein			AFK25_RS00135	222	73	
gene	protein_coding	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	27818	28084	+							AFK25_RS00140	267		old_locus_tag=AFK25_00140
CDS	with_protein	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	27818	28084	+	WP_009360701.1	WP_009360701.1		pro-sigmaK processing inhibitor BofA family protein			AFK25_RS00140	267	88	
gene	rRNA	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	28266	29822	+							AFK25_RS00145	1557		old_locus_tag=AFK25_00145
rRNA		GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	28266	29822	+				16S ribosomal RNA			AFK25_RS00145	1557		
gene	tRNA	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	30084	30160	+							AFK25_RS00150	77		old_locus_tag=AFK25_00150
tRNA		GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	30084	30160	+				tRNA-Ile			AFK25_RS00150	77		anticodon=GAT
gene	tRNA	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	30173	30248	+							AFK25_RS00155	76		old_locus_tag=AFK25_00155
tRNA		GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	30173	30248	+				tRNA-Ala			AFK25_RS00155	76		anticodon=TGC
gene	rRNA	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	30353	33278	+							AFK25_RS00160	2926		old_locus_tag=AFK25_00160
rRNA		GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	30353	33278	+				23S ribosomal RNA			AFK25_RS00160	2926		
gene	rRNA	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	33353	33469	+					rrf		AFK25_RS00165	117		old_locus_tag=AFK25_00165
rRNA		GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	33353	33469	+				5S ribosomal RNA	rrf		AFK25_RS00165	117		
gene	protein_coding	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	33606	33788	+							AFK25_RS00170	183		old_locus_tag=AFK25_00170
CDS	with_protein	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	33606	33788	+	WP_009360792.1	WP_009360792.1		sigma factor G inhibitor Gin			AFK25_RS00170	183	60	
gene	protein_coding	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	33869	35293	+							AFK25_RS00175	1425		old_locus_tag=AFK25_00175
CDS	with_protein	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	33869	35293	+	WP_019418064.1	WP_019418064.1		aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme			AFK25_RS00175	1425	474	
gene	protein_coding	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	35295	35924	+					tmk		AFK25_RS00180	630		old_locus_tag=AFK25_00180
CDS	with_protein	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	35295	35924	+	WP_009360790.1	WP_009360790.1		dTMP kinase	tmk		AFK25_RS00180	630	209	
gene	protein_coding	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	35935	36933	+					holB		AFK25_RS00185	999		old_locus_tag=AFK25_00185
CDS	with_protein	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	35935	36933	+	WP_009360789.1	WP_009360789.1		DNA polymerase III subunit delta'	holB		AFK25_RS00185	999	332	
gene	protein_coding	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	36926	37753	+							AFK25_RS00190	828		old_locus_tag=AFK25_00190
CDS	with_protein	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	36926	37753	+	WP_009360788.1	WP_009360788.1		stage 0 sporulation family protein			AFK25_RS00190	828	275	
gene	protein_coding	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	37769	38116	+					yabA		AFK25_RS00195	348		old_locus_tag=AFK25_00195
CDS	with_protein	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	37769	38116	+	WP_009360787.1	WP_009360787.1		DNA replication initiation control protein YabA	yabA		AFK25_RS00195	348	115	
gene	protein_coding	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	38171	38905	+							AFK25_RS00200	735		old_locus_tag=AFK25_00200
CDS	with_protein	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	38171	38905	+	WP_019418062.1	WP_019418062.1		tRNA1(Val) (adenine(37)-N6)-methyltransferase			AFK25_RS00200	735	244	
gene	protein_coding	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	38912	39778	+					rsmI		AFK25_RS00205	867		old_locus_tag=AFK25_00205
CDS	with_protein	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	38912	39778	+	WP_035067847.1	WP_035067847.1		16S rRNA (cytidine(1402)-2'-O)-methyltransferase	rsmI		AFK25_RS00205	867	288	
gene	protein_coding	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	39816	40106	-							AFK25_RS00210	291		old_locus_tag=AFK25_00210
CDS	with_protein	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	39816	40106	-	WP_180271095.1	WP_180271095.1		AbrB/MazE/SpoVT family DNA-binding domain-containing protein			AFK25_RS00210	291	96	
gene	protein_coding	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	40594	42543	+					metG		AFK25_RS00215	1950		old_locus_tag=AFK25_00215
CDS	with_protein	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	40594	42543	+	WP_009360783.1	WP_009360783.1		methionine--tRNA ligase	metG		AFK25_RS00215	1950	649	
gene	protein_coding	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	42660	43427	+							AFK25_RS00220	768		old_locus_tag=AFK25_00220
CDS	with_protein	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	42660	43427	+	WP_035067845.1	WP_035067845.1		TatD family hydrolase			AFK25_RS00220	768	255	
gene	protein_coding	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	43632	44825	+							AFK25_RS00225	1194		old_locus_tag=AFK25_00225
CDS	with_protein	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	43632	44825	+	WP_035067842.1	WP_035067842.1		G5 and 3D domain-containing protein			AFK25_RS00225	1194	397	
gene	protein_coding	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	44899	45459	+					rnmV		AFK25_RS00230	561		old_locus_tag=AFK25_00230
CDS	with_protein	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	44899	45459	+	WP_009360780.1	WP_009360780.1		ribonuclease M5	rnmV		AFK25_RS00230	561	186	
gene	protein_coding	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	45452	46339	+					rsmA		AFK25_RS00235	888		old_locus_tag=AFK25_00235
CDS	with_protein	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	45452	46339	+	WP_035067840.1	WP_035067840.1		16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase RsmA	rsmA		AFK25_RS00235	888	295	
gene	protein_coding	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	46414	47292	+					yabG		AFK25_RS00240	879		old_locus_tag=AFK25_00240
CDS	with_protein	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	46414	47292	+	WP_009360778.1	WP_009360778.1		sporulation peptidase YabG	yabG		AFK25_RS00240	879	292	
gene	protein_coding	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	47506	47775	+							AFK25_RS00245	270		old_locus_tag=AFK25_00245
CDS	with_protein	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	47506	47775	+	WP_009360777.1	WP_009360777.1		Veg family protein			AFK25_RS00245	270	89	
gene	protein_coding	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	47903	48769	+					ispE		AFK25_RS00250	867		old_locus_tag=AFK25_00250
CDS	with_protein	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	47903	48769	+	WP_026011756.1	WP_026011756.1		4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	ispE		AFK25_RS00250	867	288	
gene	protein_coding	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	48782	49606	+					purR		AFK25_RS00255	825		old_locus_tag=AFK25_00255
CDS	with_protein	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	48782	49606	+	WP_019418051.1	WP_019418051.1		pur operon repressor	purR		AFK25_RS00255	825	274	
gene	protein_coding	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	49641	50021	+							AFK25_RS00260	381		old_locus_tag=AFK25_00260
CDS	with_protein	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	49641	50021	+	WP_004888532.1	WP_004888532.1		RidA family protein			AFK25_RS00260	381	126	
gene	protein_coding	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	50111	50401	+					spoVG		AFK25_RS00265	291		old_locus_tag=AFK25_00265
CDS	with_protein	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	50111	50401	+	WP_003398210.1	WP_003398210.1		septation regulator SpoVG	spoVG		AFK25_RS00265	291	96	
gene	protein_coding	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	50586	51962	+					glmU		AFK25_RS00270	1377		old_locus_tag=AFK25_00270
CDS	with_protein	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	50586	51962	+	WP_009360774.1	WP_009360774.1		bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU	glmU		AFK25_RS00270	1377	458	
gene	protein_coding	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	51980	52930	+							AFK25_RS00275	951		old_locus_tag=AFK25_00275
CDS	with_protein	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	51980	52930	+	WP_009360773.1	WP_009360773.1		ribose-phosphate diphosphokinase			AFK25_RS00275	951	316	
gene	protein_coding	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	52987	53613	+							AFK25_RS00280	627		old_locus_tag=AFK25_00280
CDS	with_protein	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	52987	53613	+	WP_035067837.1	WP_035067837.1		50S ribosomal protein L25/general stress protein Ctc			AFK25_RS00280	627	208	
gene	protein_coding	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	53671	54234	+					pth		AFK25_RS00285	564		old_locus_tag=AFK25_00285
CDS	with_protein	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	53671	54234	+	WP_009360771.1	WP_009360771.1		aminoacyl-tRNA hydrolase	pth		AFK25_RS00285	564	187	
gene	protein_coding	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	54304	54534	+							AFK25_RS00290	231		old_locus_tag=AFK25_00290
CDS	with_protein	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	54304	54534	+	WP_009360770.1	WP_009360770.1		anti-sigma-F factor Fin family protein			AFK25_RS00290	231	76	
gene	protein_coding	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	54592	58104	+					mfd		AFK25_RS00295	3513		old_locus_tag=AFK25_00295
CDS	with_protein	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	54592	58104	+	WP_035067834.1	WP_035067834.1		transcription-repair coupling factor	mfd		AFK25_RS00295	3513	1170	
gene	protein_coding	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	58300	58836	+					spoVT		AFK25_RS00300	537		old_locus_tag=AFK25_00300
CDS	with_protein	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	58300	58836	+	WP_009360768.1	WP_009360768.1		stage V sporulation protein T	spoVT		AFK25_RS00300	537	178	
gene	protein_coding	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	58896	60455	+							AFK25_RS00305	1560		old_locus_tag=AFK25_00305
CDS	with_protein	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	58896	60455	+	WP_009360767.1	WP_009360767.1		polysaccharide biosynthesis protein			AFK25_RS00305	1560	519	
gene	protein_coding	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	60458	61909	+					mazG		AFK25_RS00310	1452		old_locus_tag=AFK25_00310
CDS	with_protein	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	60458	61909	+	WP_035067830.1	WP_035067830.1		nucleoside triphosphate pyrophosphohydrolase	mazG		AFK25_RS00310	1452	483	
gene	protein_coding	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	61911	62168	+							AFK25_RS00315	258		old_locus_tag=AFK25_00315
CDS	with_protein	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	61911	62168	+	WP_009360765.1	WP_009360765.1		RNA-binding S4 domain-containing protein			AFK25_RS00315	258	85	
gene	protein_coding	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	62235	62528	+					yabP		AFK25_RS00320	294		old_locus_tag=AFK25_00320
CDS	with_protein	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	62235	62528	+	WP_026011753.1	WP_026011753.1		sporulation protein YabP	yabP		AFK25_RS00320	294	97	
gene	protein_coding	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	62537	63133	+					yabQ		AFK25_RS00325	597		old_locus_tag=AFK25_00325
CDS	with_protein	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	62537	63133	+	WP_240483492.1	WP_240483492.1		spore cortex biosynthesis protein YabQ	yabQ		AFK25_RS00325	597	198	
gene	protein_coding	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	63156	63527	+							AFK25_RS00330	372		old_locus_tag=AFK25_00330
CDS	with_protein	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	63156	63527	+	WP_009360762.1	WP_009360762.1		septum formation initiator family protein			AFK25_RS00330	372	123	
gene	protein_coding	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	63622	64014	+							AFK25_RS00335	393		old_locus_tag=AFK25_00335
CDS	with_protein	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	63622	64014	+	WP_006323664.1	WP_006323664.1		S1 domain-containing RNA-binding protein			AFK25_RS00335	393	130	
gene	tRNA	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	64153	64229	+							AFK25_RS00340	77		old_locus_tag=AFK25_00340
tRNA		GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	64153	64229	+				tRNA-Met			AFK25_RS00340	77		anticodon=CAT
gene	tRNA	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	64241	64312	+							AFK25_RS00345	72		old_locus_tag=AFK25_00345
tRNA		GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	64241	64312	+				tRNA-Glu			AFK25_RS00345	72		anticodon=TTC
gene	protein_coding	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	64493	66958	+					spoIIE		AFK25_RS00350	2466		old_locus_tag=AFK25_00350
CDS	with_protein	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	64493	66958	+	WP_035067826.1	WP_035067826.1		stage II sporulation protein E	spoIIE		AFK25_RS00350	2466	821	
gene	protein_coding	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	67024	67767	+							AFK25_RS00355	744		old_locus_tag=AFK25_00355
CDS	with_protein	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	67024	67767	+	WP_009360760.1	WP_009360760.1		VWA domain-containing protein			AFK25_RS00355	744	247	
gene	protein_coding	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	67730	68686	+							AFK25_RS00360	957		old_locus_tag=AFK25_00360
CDS	with_protein	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	67730	68686	+	WP_081957774.1	WP_081957774.1		protein kinase			AFK25_RS00360	957	318	
gene	protein_coding	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	68766	70148	+					tilS		AFK25_RS00365	1383		old_locus_tag=AFK25_00365
CDS	with_protein	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	68766	70148	+	WP_035067822.1	WP_035067822.1		tRNA lysidine(34) synthetase TilS	tilS		AFK25_RS00365	1383	460	
gene	protein_coding	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	70170	70715	+					hpt		AFK25_RS00370	546		old_locus_tag=AFK25_00370
CDS	with_protein	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	70170	70715	+	WP_009360757.1	WP_009360757.1		hypoxanthine phosphoribosyltransferase	hpt		AFK25_RS00370	546	181	
gene	protein_coding	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	70802	72685	+					ftsH		AFK25_RS00375	1884		old_locus_tag=AFK25_00375
CDS	with_protein	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	70802	72685	+	WP_009360756.1	WP_009360756.1		ATP-dependent zinc metalloprotease FtsH	ftsH		AFK25_RS00375	1884	627	
gene	protein_coding	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	72778	73551	+							AFK25_RS00380	774		old_locus_tag=AFK25_00380
CDS	with_protein	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	72778	73551	+	WP_009360755.1	WP_009360755.1		type III pantothenate kinase			AFK25_RS00380	774	257	
gene	protein_coding	GCF_001187595.1	Primary Assembly	chromosome		NZ_CP012152.1	73557	74444	+					hslO		AFK25_RS00385	888		old_locus_tag=AFK25_00385
