# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	11118	11840	-	WP_171567026.1	WP_171567026.1		ZIP family metal transporter			IRT44_RS00075	723	240	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	12146	12763	+							IRT44_RS00080	618		old_locus_tag=IRT44_00065
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	12146	12763	+	WP_171567028.1	WP_171567028.1		MerR family transcriptional regulator			IRT44_RS00080	618	205	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	13471	13992	+							IRT44_RS00085	522		old_locus_tag=IRT44_00070
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	13471	13992	+	WP_171567030.1	WP_171567030.1		ADP-heptose synthase			IRT44_RS00085	522	173	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	14140	15567	+							IRT44_RS00090	1428		old_locus_tag=IRT44_00075
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	14140	15567	+	WP_230077236.1	WP_230077236.1		PLP-dependent aminotransferase family protein			IRT44_RS00090	1428	475	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	15564	16298	+							IRT44_RS00095	735		old_locus_tag=IRT44_00080
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	15564	16298	+	WP_171567034.1	WP_171567034.1		AzlC family ABC transporter permease			IRT44_RS00095	735	244	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	16295	16615	+							IRT44_RS00100	321		old_locus_tag=IRT44_00085
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	16295	16615	+	WP_171567036.1	WP_171567036.1		AzlD domain-containing protein			IRT44_RS00100	321	106	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	16714	17193	+							IRT44_RS00105	480		old_locus_tag=IRT44_00090
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	16714	17193	+	WP_171567037.1	WP_171567037.1		chemotaxis protein CheW			IRT44_RS00105	480	159	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	17338	18006	-							IRT44_RS00110	669		old_locus_tag=IRT44_00095
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	17338	18006	-	WP_171567039.1	WP_171567039.1		hypothetical protein			IRT44_RS00110	669	222	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	18199	18609	-							IRT44_RS00115	411		old_locus_tag=IRT44_00100
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	18199	18609	-	WP_230077237.1	WP_230077237.1		hypothetical protein			IRT44_RS00115	411	136	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	18874	19407	-							IRT44_RS00120	534		
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	18874	19407	-	WP_230077238.1	WP_230077238.1		hypothetical protein			IRT44_RS00120	534	177	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	19308	19922	-							IRT44_RS00125	615		
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	19308	19922	-	WP_230077239.1	WP_230077239.1		hypothetical protein			IRT44_RS00125	615	204	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	19919	20719	-					surE		IRT44_RS00130	801		old_locus_tag=IRT44_00110
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	19919	20719	-	WP_171567043.1	WP_171567043.1		5'/3'-nucleotidase SurE	surE		IRT44_RS00130	801	266	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	20924	21349	-							IRT44_RS00135	426		old_locus_tag=IRT44_00115
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	20924	21349	-	WP_171567045.1	WP_171567045.1		TerB family tellurite resistance protein			IRT44_RS00135	426	141	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	21449	23278	-							IRT44_RS00140	1830		old_locus_tag=IRT44_00120
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	21449	23278	-	WP_230077240.1	WP_230077240.1		ABC transporter substrate-binding protein			IRT44_RS00140	1830	609	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	23403	24638	+							IRT44_RS00145	1236		old_locus_tag=IRT44_00125
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	23403	24638	+	WP_230077241.1	WP_230077241.1		MFS transporter			IRT44_RS00145	1236	411	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	24649	25443	-							IRT44_RS00150	795		old_locus_tag=IRT44_00130
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	24649	25443	-	WP_171567050.1	WP_171567050.1		ABC transporter ATP-binding protein			IRT44_RS00150	795	264	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	25436	26368	-							IRT44_RS00155	933		old_locus_tag=IRT44_00135
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	25436	26368	-	WP_230077242.1	WP_230077242.1		ABC transporter permease			IRT44_RS00155	933	310	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	26390	27421	-							IRT44_RS00160	1032		old_locus_tag=IRT44_00140
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	26390	27421	-	WP_171567053.1	WP_171567053.1		ABC transporter substrate-binding protein			IRT44_RS00160	1032	343	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	27512	28519	-							IRT44_RS00165	1008		old_locus_tag=IRT44_00145
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	27512	28519	-	WP_171567055.1	WP_171567055.1		ABC transporter substrate-binding protein			IRT44_RS00165	1008	335	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	28608	29921	-							IRT44_RS00170	1314		old_locus_tag=IRT44_00150
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	28608	29921	-	WP_171567057.1	WP_171567057.1		hemolysin family protein			IRT44_RS00170	1314	437	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	30104	31783	+							IRT44_RS00175	1680		old_locus_tag=IRT44_00155
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	30104	31783	+	WP_230077243.1	WP_230077243.1		helicase-associated domain-containing protein			IRT44_RS00175	1680	559	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	31836	32405	+							IRT44_RS00180	570		old_locus_tag=IRT44_00160
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	31836	32405	+	WP_171567061.1	WP_171567061.1		RNA polymerase sigma factor			IRT44_RS00180	570	189	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	32386	33822	+							IRT44_RS00185	1437		old_locus_tag=IRT44_00165
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	32386	33822	+	WP_171567063.1	WP_171567063.1		hypothetical protein			IRT44_RS00185	1437	478	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	33924	34919	-							IRT44_RS00190	996		old_locus_tag=IRT44_00170
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	33924	34919	-	WP_171567064.1	WP_171567064.1		ABC transporter permease			IRT44_RS00190	996	331	
gene	pseudogene	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	34885	35774	-							IRT44_RS00195	890		pseudo;old_locus_tag=IRT44_00175
CDS	without_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	34885	35774	-				ABC transporter ATP-binding protein			IRT44_RS00195	890		pseudo
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	35963	36751	+							IRT44_RS00200	789		old_locus_tag=IRT44_00180
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	35963	36751	+	WP_171567066.1	WP_171567066.1		GDSL-type esterase/lipase family protein			IRT44_RS00200	789	262	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	36743	37978	-							IRT44_RS00205	1236		old_locus_tag=IRT44_00185
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	36743	37978	-	WP_171567068.1	WP_171567068.1		MFS transporter			IRT44_RS00205	1236	411	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	38259	39104	-							IRT44_RS00210	846		old_locus_tag=IRT44_00190
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	38259	39104	-	WP_230077244.1	WP_230077244.1		MBL fold metallo-hydrolase			IRT44_RS00210	846	281	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	39175	39468	-							IRT44_RS00215	294		old_locus_tag=IRT44_00195
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	39175	39468	-	WP_171567128.1	WP_171567128.1		hypothetical protein			IRT44_RS00215	294	97	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	39596	41599	-							IRT44_RS00220	2004		old_locus_tag=IRT44_00200
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	39596	41599	-	WP_230077245.1	WP_230077245.1		FAD-dependent oxidoreductase			IRT44_RS00220	2004	667	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	41696	42169	-							IRT44_RS00225	474		old_locus_tag=IRT44_00205
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	41696	42169	-	WP_230077246.1	WP_230077246.1		hypothetical protein			IRT44_RS00225	474	157	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	42489	42803	-							IRT44_RS00230	315		old_locus_tag=IRT44_00210
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	42489	42803	-	WP_171567076.1	WP_171567076.1		hypothetical protein			IRT44_RS00230	315	104	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	43014	44426	-							IRT44_RS00235	1413		old_locus_tag=IRT44_00215
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	43014	44426	-	WP_171567077.1	WP_171567077.1		LCP family protein			IRT44_RS00235	1413	470	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	44717	45586	-							IRT44_RS00240	870		old_locus_tag=IRT44_00220
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	44717	45586	-	WP_171567079.1	WP_171567079.1		carbohydrate kinase family protein			IRT44_RS00240	870	289	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	45787	47010	+							IRT44_RS00245	1224		old_locus_tag=IRT44_00225
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	45787	47010	+	WP_230077247.1	WP_230077247.1		MFS transporter			IRT44_RS00245	1224	407	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	47108	49165	-							IRT44_RS00250	2058		old_locus_tag=IRT44_00230
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	47108	49165	-	WP_230077248.1	WP_230077248.1		SEC-C domain-containing protein			IRT44_RS00250	2058	685	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	49257	49502	-							IRT44_RS00255	246		old_locus_tag=IRT44_00235
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	49257	49502	-	WP_230077249.1	WP_230077249.1		hypothetical protein			IRT44_RS00255	246	81	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	49517	50587	-							IRT44_RS00260	1071		old_locus_tag=IRT44_00240
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	49517	50587	-	WP_230077250.1	WP_230077250.1		hypothetical protein			IRT44_RS00260	1071	356	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	50799	51743	-							IRT44_RS00265	945		old_locus_tag=IRT44_00245
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	50799	51743	-	WP_212132754.1	WP_212132754.1		HD domain-containing protein			IRT44_RS00265	945	314	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	51762	52298	-							IRT44_RS00270	537		old_locus_tag=IRT44_00250
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	51762	52298	-	WP_171567091.1	WP_171567091.1		DUF1232 domain-containing protein			IRT44_RS00270	537	178	
gene	pseudogene	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	52295	52922	-							IRT44_RS00275	628		pseudo;old_locus_tag=IRT44_00255
CDS	without_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	52295	52922	-				DedA family protein			IRT44_RS00275	628		pseudo
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	53211	53696	+							IRT44_RS00280	486		old_locus_tag=IRT44_00260
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	53211	53696	+	WP_171567093.1	WP_171567093.1		DUF2062 domain-containing protein			IRT44_RS00280	486	161	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	53840	54061	-							IRT44_RS00285	222		old_locus_tag=IRT44_00265
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	53840	54061	-	WP_171567095.1	WP_171567095.1		hypothetical protein			IRT44_RS00285	222	73	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	54204	54956	-					nadE		IRT44_RS00290	753		old_locus_tag=IRT44_00270
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	54204	54956	-	WP_171567096.1	WP_171567096.1		NAD(+) synthase	nadE		IRT44_RS00290	753	250	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	55077	55823	+					map		IRT44_RS00295	747		old_locus_tag=IRT44_00275
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	55077	55823	+	WP_171567099.1	WP_171567099.1		type I methionyl aminopeptidase	map		IRT44_RS00295	747	248	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	55921	56091	-							IRT44_RS00300	171		old_locus_tag=IRT44_00280
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	55921	56091	-	WP_171567101.1	WP_171567101.1		hypothetical protein			IRT44_RS00300	171	56	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	56167	56517	-							IRT44_RS00305	351		old_locus_tag=IRT44_00285
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	56167	56517	-	WP_171567103.1	WP_171567103.1		PspC domain-containing protein			IRT44_RS00305	351	116	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	56695	57126	-							IRT44_RS00310	432		old_locus_tag=IRT44_00290
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	56695	57126	-	WP_171567105.1	WP_171567105.1		DUF2935 domain-containing protein			IRT44_RS00310	432	143	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	57226	57849	-							IRT44_RS00315	624		old_locus_tag=IRT44_00295
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	57226	57849	-	WP_171567107.1	WP_171567107.1		flavin reductase family protein			IRT44_RS00315	624	207	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	57868	59028	-							IRT44_RS00320	1161		old_locus_tag=IRT44_00300
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	57868	59028	-	WP_171567110.1	WP_171567110.1		homogentisate 1,2-dioxygenase			IRT44_RS00320	1161	386	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	59063	59992	-							IRT44_RS00325	930		old_locus_tag=IRT44_00305
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	59063	59992	-	WP_212132755.1	WP_212132755.1		fumarylacetoacetate hydrolase family protein			IRT44_RS00325	930	309	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	60409	61314	-							IRT44_RS00330	906		old_locus_tag=IRT44_00310
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	60409	61314	-	WP_230077251.1	WP_230077251.1		RluA family pseudouridine synthase			IRT44_RS00330	906	301	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	61665	62177	+							IRT44_RS00335	513		old_locus_tag=IRT44_00315
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	61665	62177	+	WP_171567115.1	WP_171567115.1		DUF2269 family protein			IRT44_RS00335	513	170	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	62592	63113	-					tpx		IRT44_RS00340	522		old_locus_tag=IRT44_00320
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	62592	63113	-	WP_171567116.1	WP_171567116.1		thiol peroxidase	tpx		IRT44_RS00340	522	173	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	63202	63735	-							IRT44_RS00345	534		old_locus_tag=IRT44_00325
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	63202	63735	-	WP_212132757.1	WP_212132757.1		hypothetical protein			IRT44_RS00345	534	177	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	63784	64218	-							IRT44_RS00350	435		old_locus_tag=IRT44_00330
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	63784	64218	-	WP_230077252.1	WP_230077252.1		gamma-glutamylcyclotransferase			IRT44_RS00350	435	144	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	64399	67845	+							IRT44_RS00355	3447		old_locus_tag=IRT44_00335
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	64399	67845	+	WP_171567119.1	WP_171567119.1		pyruvate carboxylase			IRT44_RS00355	3447	1148	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	67907	68608	+							IRT44_RS00360	702		old_locus_tag=IRT44_00340
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	67907	68608	+	WP_171567120.1	WP_171567120.1		hypothetical protein			IRT44_RS00360	702	233	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	68719	69177	-					ytfJ		IRT44_RS00365	459		old_locus_tag=IRT44_00345
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	68719	69177	-	WP_171567121.1	WP_171567121.1		GerW family sporulation protein	ytfJ		IRT44_RS00365	459	152	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	69338	70000	-							IRT44_RS00370	663		old_locus_tag=IRT44_00350
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	69338	70000	-	WP_230077253.1	WP_230077253.1		DUF2953 domain-containing protein			IRT44_RS00370	663	220	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	70070	71041	-							IRT44_RS00375	972		old_locus_tag=IRT44_00355
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	70070	71041	-	WP_212132758.1	WP_212132758.1		S-layer homology domain-containing protein			IRT44_RS00375	972	323	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	71187	71852	-							IRT44_RS00380	666		old_locus_tag=IRT44_00360
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	71187	71852	-	WP_230077254.1	WP_230077254.1		L,D-transpeptidase family protein			IRT44_RS00380	666	221	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	71880	72467	-					sleB		IRT44_RS00385	588		old_locus_tag=IRT44_00365
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	71880	72467	-	WP_171567608.1	WP_171567608.1		spore cortex-lytic enzyme	sleB		IRT44_RS00385	588	195	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	72621	72971	-					spoVAE		IRT44_RS00390	351		old_locus_tag=IRT44_00370
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	72621	72971	-	WP_171567599.1	WP_171567599.1		stage V sporulation protein AE	spoVAE		IRT44_RS00390	351	116	
gene	protein_coding	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	72973	73992	-					spoVAD		IRT44_RS00395	1020		old_locus_tag=IRT44_00375
CDS	with_protein	GCF_020923495.1	Primary Assembly	chromosome		NZ_CP064048.1	72973	73992	-	WP_171567600.1	WP_171567600.1		stage V sporulation protein AD	spoVAD		IRT44_RS00395	1020	339	
