# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	39035	39637	+	WP_066322011.1	WP_066322011.1		spore gernimation protein GerD			GFC30_RS00185	603	200	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	39691	40707	-							GFC30_RS00190	1017		old_locus_tag=GFC30_39
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	39691	40707	-	WP_066322013.1	WP_066322013.1		MRP family ATP-binding protein			GFC30_RS00190	1017	338	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	40851	41558	-					cwlD		GFC30_RS00195	708		old_locus_tag=GFC30_40
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	40851	41558	-	WP_066322015.1	WP_066322015.1		N-acetylmuramoyl-L-alanine amidase CwlD	cwlD		GFC30_RS00195	708	235	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	41622	42056	-							GFC30_RS00200	435		old_locus_tag=GFC30_41
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	41622	42056	-	WP_066322017.1	WP_066322017.1		DUF2521 family protein			GFC30_RS00200	435	144	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	42162	42554	-					rpsI		GFC30_RS00205	393		old_locus_tag=GFC30_42
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	42162	42554	-	WP_066322019.1	WP_066322019.1		30S ribosomal protein S9	rpsI		GFC30_RS00205	393	130	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	42572	43009	-					rplM		GFC30_RS00210	438		old_locus_tag=GFC30_43
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	42572	43009	-	WP_066322021.1	WP_066322021.1		50S ribosomal protein L13	rplM		GFC30_RS00210	438	145	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	43159	43899	-					truA		GFC30_RS00215	741		old_locus_tag=GFC30_44
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	43159	43899	-	WP_066322022.1	WP_066322022.1		tRNA pseudouridine(38-40) synthase TruA	truA		GFC30_RS00215	741	246	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	43913	44704	-							GFC30_RS00220	792		old_locus_tag=GFC30_45
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	43913	44704	-	WP_066322023.1	WP_066322023.1		energy-coupling factor transporter transmembrane protein EcfT			GFC30_RS00220	792	263	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	44701	45570	-							GFC30_RS00225	870		old_locus_tag=GFC30_46
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	44701	45570	-	WP_066322026.1	WP_066322026.1		energy-coupling factor ABC transporter ATP-binding protein			GFC30_RS00225	870	289	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	45546	46385	-							GFC30_RS00230	840		old_locus_tag=GFC30_47
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	45546	46385	-	WP_066322028.1	WP_066322028.1		energy-coupling factor ABC transporter ATP-binding protein			GFC30_RS00230	840	279	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	46505	46867	-					rplQ		GFC30_RS00235	363		old_locus_tag=GFC30_48
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	46505	46867	-	WP_066322030.1	WP_066322030.1		50S ribosomal protein L17	rplQ		GFC30_RS00235	363	120	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	46930	47874	-							GFC30_RS00240	945		old_locus_tag=GFC30_49
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	46930	47874	-	WP_066322032.1	WP_066322032.1		DNA-directed RNA polymerase subunit alpha			GFC30_RS00240	945	314	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	48045	48434	-					rpsK		GFC30_RS00245	390		old_locus_tag=GFC30_50
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	48045	48434	-	WP_004888704.1	WP_004888704.1		30S ribosomal protein S11	rpsK		GFC30_RS00245	390	129	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	48460	48825	-					rpsM		GFC30_RS00250	366		old_locus_tag=GFC30_51
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	48460	48825	-	WP_044895215.1	WP_044895215.1		30S ribosomal protein S13	rpsM		GFC30_RS00250	366	121	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	48848	48961	-					rpmJ		GFC30_RS00255	114		old_locus_tag=GFC30_52
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	48848	48961	-	WP_000868344.1	WP_000868344.1		50S ribosomal protein L36	rpmJ		GFC30_RS00255	114	37	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	48995	49213	-					infA		GFC30_RS00260	219		old_locus_tag=GFC30_53
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	48995	49213	-	WP_003247618.1	WP_003247618.1		translation initiation factor IF-1	infA		GFC30_RS00260	219	72	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	49472	50218	-					map		GFC30_RS00265	747		old_locus_tag=GFC30_54
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	49472	50218	-	WP_066322033.1	WP_066322033.1		type I methionyl aminopeptidase	map		GFC30_RS00265	747	248	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	50218	50868	-							GFC30_RS00270	651		old_locus_tag=GFC30_55
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	50218	50868	-	WP_066322035.1	WP_066322035.1		adenylate kinase			GFC30_RS00270	651	216	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	50926	52218	-					secY		GFC30_RS00275	1293		old_locus_tag=GFC30_56
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	50926	52218	-	WP_066322038.1	WP_066322038.1		preprotein translocase subunit SecY	secY		GFC30_RS00275	1293	430	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	52218	52658	-					rplO		GFC30_RS00280	441		old_locus_tag=GFC30_57
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	52218	52658	-	WP_066322040.1	WP_066322040.1		50S ribosomal protein L15	rplO		GFC30_RS00280	441	146	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	52682	52870	-					rpmD		GFC30_RS00285	189		old_locus_tag=GFC30_58
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	52682	52870	-	WP_044744047.1	WP_044744047.1		50S ribosomal protein L30	rpmD		GFC30_RS00285	189	62	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	52884	53384	-					rpsE		GFC30_RS00290	501		old_locus_tag=GFC30_59
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	52884	53384	-	WP_066322042.1	WP_066322042.1		30S ribosomal protein S5	rpsE		GFC30_RS00290	501	166	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	53404	53766	-					rplR		GFC30_RS00295	363		old_locus_tag=GFC30_60
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	53404	53766	-	WP_066322045.1	WP_066322045.1		50S ribosomal protein L18	rplR		GFC30_RS00295	363	120	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	53799	54338	-					rplF		GFC30_RS00300	540		old_locus_tag=GFC30_61
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	53799	54338	-	WP_066322050.1	WP_066322050.1		50S ribosomal protein L6	rplF		GFC30_RS00300	540	179	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	54369	54767	-					rpsH		GFC30_RS00305	399		old_locus_tag=GFC30_62
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	54369	54767	-	WP_066322051.1	WP_066322051.1		30S ribosomal protein S8	rpsH		GFC30_RS00305	399	132	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	54801	54986	-					rpsN		GFC30_RS00310	186		old_locus_tag=GFC30_63
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	54801	54986	-	WP_003397678.1	WP_003397678.1		30S ribosomal protein S14	rpsN		GFC30_RS00310	186	61	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	55020	55559	-					rplE		GFC30_RS00315	540		old_locus_tag=GFC30_64
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	55020	55559	-	WP_066322053.1	WP_066322053.1		50S ribosomal protein L5	rplE		GFC30_RS00315	540	179	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	55587	55898	-					rplX		GFC30_RS00320	312		old_locus_tag=GFC30_65
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	55587	55898	-	WP_066322055.1	WP_066322055.1		50S ribosomal protein L24	rplX		GFC30_RS00320	312	103	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	55936	56304	-					rplN		GFC30_RS00325	369		old_locus_tag=GFC30_66
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	55936	56304	-	WP_066322058.1	WP_066322058.1		50S ribosomal protein L14	rplN		GFC30_RS00325	369	122	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	56348	56611	-					rpsQ		GFC30_RS00330	264		old_locus_tag=GFC30_67
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	56348	56611	-	WP_027410243.1	WP_027410243.1		30S ribosomal protein S17	rpsQ		GFC30_RS00330	264	87	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	56635	56835	-					rpmC		GFC30_RS00335	201		old_locus_tag=GFC30_68
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	56635	56835	-	WP_066322059.1	WP_066322059.1		50S ribosomal protein L29	rpmC		GFC30_RS00335	201	66	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	56825	57259	-					rplP		GFC30_RS00340	435		old_locus_tag=GFC30_69
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	56825	57259	-	WP_066322060.1	WP_066322060.1		50S ribosomal protein L16	rplP		GFC30_RS00340	435	144	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	57262	57918	-					rpsC		GFC30_RS00345	657		old_locus_tag=GFC30_70
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	57262	57918	-	WP_066322063.1	WP_066322063.1		30S ribosomal protein S3	rpsC		GFC30_RS00345	657	218	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	57922	58263	-					rplV		GFC30_RS00350	342		old_locus_tag=GFC30_71
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	57922	58263	-	WP_066322065.1	WP_066322065.1		50S ribosomal protein L22	rplV		GFC30_RS00350	342	113	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	58284	58562	-					rpsS		GFC30_RS00355	279		old_locus_tag=GFC30_72
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	58284	58562	-	WP_003397663.1	WP_003397663.1		30S ribosomal protein S19	rpsS		GFC30_RS00355	279	92	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	58620	59450	-					rplB		GFC30_RS00360	831		old_locus_tag=GFC30_73
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	58620	59450	-	WP_066322067.1	WP_066322067.1		50S ribosomal protein L2	rplB		GFC30_RS00360	831	276	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	59478	59765	-					rplW		GFC30_RS00365	288		old_locus_tag=GFC30_74
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	59478	59765	-	WP_066322068.1	WP_066322068.1		50S ribosomal protein L23	rplW		GFC30_RS00365	288	95	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	59765	60388	-					rplD		GFC30_RS00370	624		old_locus_tag=GFC30_75
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	59765	60388	-	WP_066322069.1	WP_066322069.1		50S ribosomal protein L4	rplD		GFC30_RS00370	624	207	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	60416	61051	-					rplC		GFC30_RS00375	636		old_locus_tag=GFC30_76
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	60416	61051	-	WP_066322070.1	WP_066322070.1		50S ribosomal protein L3	rplC		GFC30_RS00375	636	211	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	61084	61392	-					rpsJ		GFC30_RS00380	309		old_locus_tag=GFC30_77
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	61084	61392	-	WP_003247558.1	WP_003247558.1		30S ribosomal protein S10	rpsJ		GFC30_RS00380	309	102	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	61672	62859	-					tuf		GFC30_RS00385	1188		old_locus_tag=GFC30_78
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	61672	62859	-	WP_066322072.1	WP_066322072.1		elongation factor Tu	tuf		GFC30_RS00385	1188	395	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	62993	65071	-					fusA		GFC30_RS00390	2079		old_locus_tag=GFC30_79
CDS	with_protein	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	62993	65071	-	WP_066322073.1	WP_066322073.1		elongation factor G	fusA		GFC30_RS00390	2079	692	
gene	protein_coding	GCF_001634285.1	Primary Assembly	chromosome		NZ_CP015438.1	65214	65684	-					rpsG		GFC30_RS00395	471		old_locus_tag=GFC30_80
